"SNP","PMID","Title","Date","Pvalue","ORvalue","Ethnicity","Patient group Size","Control group Size","Frequency","Text Evidence"
"rs2511989"," 21526158  ","Association between the SERPING1 gene and age-related macular degeneration and polypoidal choroidal vasculopathy in Japanese.","2011-04-19"," 0.505"," "," Caucasians Japanese"," "," 2"," 14","+"
"rs3917751"," 21521525  ","Evaluation of variants in the selectin genes in age-related macular degeneration.","2011-04-26"," 0.0029"," "," "," "," 400"," 1","+"
"rs2301995"," 21391811  ","Elastin rs2301995 polymorphism is not associated with polypoidal choroidal vasculopathy in caucasians.","2011-03-10"," 0.9"," "," European-American"," 368"," "," 7","+"
"rs2301995"," 21391811  ","Elastin rs2301995 polymorphism is not associated with polypoidal choroidal vasculopathy in caucasians.","2011-03-10"," 0.9"," "," European-American"," 368"," "," 7","+"
"rs2301995"," 21391811  ","Elastin rs2301995 polymorphism is not associated with polypoidal choroidal vasculopathy in caucasians.","2011-03-10"," 0.9"," "," European-American"," 368"," "," 7","+"
"rs10898563"," 21282580  ","Genetic association with response to intravitreal ranibizumab in patients with neovascular AMD.","2011-07-01"," 0.004"," "," Swiss"," "," "," 1","+"
"rs3793917"," 21191724  ","Haplotype analysis of the ARMS2/HTRA1 region in Japanese patients with typical neovascular age-related macular degeneration or polypoidal choroidal vasculopathy.","2010-12-30"," 0.001"," "," Japanese"," 181"," 276"," 3","+"
"rs10490924"," 21191724  ","Haplotype analysis of the ARMS2/HTRA1 region in Japanese patients with typical neovascular age-related macular degeneration or polypoidal choroidal vasculopathy.","2010-12-30"," 1e-07"," "," Japanese"," 181"," 276"," 55","+"
"rs1136287"," 21174599  ","Pigment epithelium-derived factor gene polymorphisms in exudative age-related degeneration in a chinese cohort.",""," 0.03"," 0.59"," Chinese"," 168"," "," 3","+"
"rs757200"," 21169531  ","Dissection of chromosome 16p12 linkage peak suggests a possible role for CACNG3 variants in age-related macular degeneration susceptibility.","2011-03-28"," 0.06"," "," Caucasian"," "," 575"," 1","+"
"rs2238498"," 21169531  ","Dissection of chromosome 16p12 linkage peak suggests a possible role for CACNG3 variants in age-related macular degeneration susceptibility.","2011-03-28"," 0.006"," "," Caucasian"," "," 575"," 1","+"
"rs2283550"," 21169531  ","Dissection of chromosome 16p12 linkage peak suggests a possible role for CACNG3 variants in age-related macular degeneration susceptibility.","2011-03-28"," 1.3e-06"," "," Caucasian"," "," 575"," 2","+"
"rs4787924"," 21169531  ","Dissection of chromosome 16p12 linkage peak suggests a possible role for CACNG3 variants in age-related macular degeneration susceptibility.","2011-03-28"," 0.002"," "," Caucasian"," "," 575"," 3","+"
"rs2283550"," 21169531  ","Dissection of chromosome 16p12 linkage peak suggests a possible role for CACNG3 variants in age-related macular degeneration susceptibility.","2011-03-28"," 0.00024"," "," Caucasian"," "," 575"," 2","+"
"rs4787924"," 21169531  ","Dissection of chromosome 16p12 linkage peak suggests a possible role for CACNG3 variants in age-related macular degeneration susceptibility.","2011-03-28"," 0.035"," "," Caucasian"," "," 575"," 3","+"
"rs4787924"," 21169531  ","Dissection of chromosome 16p12 linkage peak suggests a possible role for CACNG3 variants in age-related macular degeneration susceptibility.","2011-03-28"," 0.001"," "," Caucasian"," "," 575"," 3","+"
"rs10490924"," 21122828  ","ARMS2/HTRA1 locus can confer differential susceptibility to the advanced subtypes of age-related macular degeneration.","2010-12-03"," 4.2e-07"," "," Allele"," 3209"," "," 55","+"
"rs3793784"," 21072178  ","The ERCC6 gene and age-related macular degeneration.","2010-11-01"," 0.018"," "," Dutch Caucasian"," 2682"," 3152"," 1","+"
"rs429608"," 20861866  ","Genome-wide association identifies SKIV2L and MYRIP as protective factors for age-related macular degeneration.","2010-09-23"," 2.3e-64"," "," "," 2"," 1866"," 9","+"
"rs429608"," 20861866  ","Genome-wide association identifies SKIV2L and MYRIP as protective factors for age-related macular degeneration.","2010-09-23"," 1.2e-06"," "," "," 2"," 1866"," 9","+"
"rs429608"," 20861866  ","Genome-wide association identifies SKIV2L and MYRIP as protective factors for age-related macular degeneration.","2010-09-23"," 5.3e-15"," "," "," 2"," 1866"," 9","+"
"rs2679798"," 20861866  ","Genome-wide association identifies SKIV2L and MYRIP as protective factors for age-related macular degeneration.","2010-09-23"," 0.00029"," "," "," 2"," 1866"," 1","+"
"rs800292"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 16","+"
"rs1061170"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 38","+"
"rs1410996"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 15","+"
"rs2274700"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 8","+"
"rs11200638"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 42","+"
"rs699947"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 4","+"
"rs1570360"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 1","+"
"rs2010963"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 1","+"
"rs12150053"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 1","+"
"rs12948385"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 1","+"
"rs9913583"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 1","+"
"rs1136287"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 3","+"
"rs11200638"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.029"," "," Japanese"," "," "," 42","+"
"rs11200638"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.0312"," "," Japanese"," "," "," 42","+"
"rs11200638"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.00558"," "," Japanese"," "," "," 42","+"
"rs1410996"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.0085"," "," Japanese"," "," "," 15","+"
"rs2274700"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.0085"," "," Japanese"," "," "," 8","+"
"rs11200638"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.0085"," "," Japanese"," "," "," 42","+"
"rs1410996"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.0085"," "," Japanese"," "," "," 15","+"
"rs2274700"," 20678803  ","Complement factor H and high-temperature requirement A-1 genotypes and treatment response of age-related macular degeneration.","2010-08-03"," 0.0085"," "," Japanese"," "," "," 8","+"
"rs10490924"," 20664795  ","R102G polymorphism of the C3 gene associated with exudative age-related macular degeneration in a French population.","2010-07-15"," 0.02"," "," French"," 1080"," 406"," 55","+"
"rs2511989"," 20576771  ","Determination of a gene and environment risk model for age-related macular degeneration.","2010-06-24"," 1.77e-05"," 0.67"," "," "," "," 14","+"
"rs2511989"," 20576771  ","Determination of a gene and environment risk model for age-related macular degeneration.","2010-06-24"," 5.13e-06"," 0.66"," "," "," "," 14","+"
"rs3753394"," 20523265  ","Association study of complement factor H, C2, CFB, and C3 and age-related macular degeneration in a Han Chinese population.",""," 0.0276"," "," Chinese"," 80"," "," 6","+"
"rs800292"," 20523265  ","Association study of complement factor H, C2, CFB, and C3 and age-related macular degeneration in a Han Chinese population.",""," 0.0266"," "," Chinese"," 80"," "," 16","+"
"rs1061170"," 20523265  ","Association study of complement factor H, C2, CFB, and C3 and age-related macular degeneration in a Han Chinese population.",""," 0.00514"," "," Chinese"," 80"," "," 38","+"
"rs1329428"," 20523265  ","Association study of complement factor H, C2, CFB, and C3 and age-related macular degeneration in a Han Chinese population.",""," 0.0089"," "," Chinese"," 80"," "," 3","+"
"rs3753394"," 20523265  ","Association study of complement factor H, C2, CFB, and C3 and age-related macular degeneration in a Han Chinese population.",""," 0.0276"," "," Chinese"," 80"," "," 6","+"
"rs800292"," 20523265  ","Association study of complement factor H, C2, CFB, and C3 and age-related macular degeneration in a Han Chinese population.",""," 0.0266"," "," Chinese"," 80"," "," 16","+"
"rs1061170"," 20523265  ","Association study of complement factor H, C2, CFB, and C3 and age-related macular degeneration in a Han Chinese population.",""," 0.00514"," "," Chinese"," 80"," "," 38","+"
"rs1329428"," 20523265  ","Association study of complement factor H, C2, CFB, and C3 and age-related macular degeneration in a Han Chinese population.",""," 0.0089"," "," Chinese"," 80"," "," 3","+"
"rs10490924"," 20456446  ","LOC387715/HTRA1 polymorphisms, smoking and combined effects on exudative age-related macular degeneration in a Korean population.","2010-06-30"," 0.0001"," "," Korean HTRA1"," 137"," 187"," 55","+"
"rs11200638"," 20456446  ","LOC387715/HTRA1 polymorphisms, smoking and combined effects on exudative age-related macular degeneration in a Korean population.","2010-06-30"," 0.0001"," "," Korean HTRA1"," 137"," 187"," 42","+"
"rs3793917"," 20445115  ","An intergenic region between the tagSNP rs3793917 and rs11200638 in the HTRA1 gene indicates association with age-related macular degeneration.","2010-05-05"," 2.8e-13"," "," Australian"," "," "," 3","+"
"rs2672587"," 20445115  ","An intergenic region between the tagSNP rs3793917 and rs11200638 in the HTRA1 gene indicates association with age-related macular degeneration.","2010-05-05"," 7.7e-11"," "," Australian"," "," "," 1","+"
"rs493258"," 20385826  ","Genome-wide association study of advanced age-related macular degeneration identifies a role of the hepatic lipase gene (LIPC).","2010-04-12"," 4.53e-05"," "," "," 5789"," 4234"," 9","+"
"rs10468017"," 20385826  ","Genome-wide association study of advanced age-related macular degeneration identifies a role of the hepatic lipase gene (LIPC).","2010-04-12"," 1.34e-08"," "," "," 5789"," 4234"," 10","+"
"rs9621532"," 20385826  ","Genome-wide association study of advanced age-related macular degeneration identifies a role of the hepatic lipase gene (LIPC).","2010-04-12"," 3.71e-09"," "," "," 5789"," 4234"," 4","+"
"rs10490924"," 20381870  ","Progression of geographic atrophy and genotype in age-related macular degeneration.","2010-04-09"," 0.002"," "," Bonferroni"," 114"," "," 55","+"
"rs10490924"," 20381870  ","Progression of geographic atrophy and genotype in age-related macular degeneration.","2010-04-09"," 0.014"," "," Bonferroni"," 114"," "," 55","+"
"rs10490924"," 20381870  ","Progression of geographic atrophy and genotype in age-related macular degeneration.","2010-04-09"," 0.011"," "," Bonferroni"," 114"," "," 55","+"
"rs547154"," 20378180  ","Three major loci involved in age-related macular degeneration are also associated with polypoidal choroidal vasculopathy.","2010-04-08"," 0.05"," "," European-American Caucasian"," 368"," "," 12","+"
"rs1061170"," 20378180  ","Three major loci involved in age-related macular degeneration are also associated with polypoidal choroidal vasculopathy.","2010-04-08"," 0.05"," "," European-American Caucasian"," 368"," "," 38","+"
"rs1410996"," 20378180  ","Three major loci involved in age-related macular degeneration are also associated with polypoidal choroidal vasculopathy.","2010-04-08"," 0.05"," "," European-American Caucasian"," 368"," "," 15","+"
"rs10490924"," 20378180  ","Three major loci involved in age-related macular degeneration are also associated with polypoidal choroidal vasculopathy.","2010-04-08"," 0.05"," "," European-American Caucasian"," 368"," "," 55","+"
"rs4151667"," 20378180  ","Three major loci involved in age-related macular degeneration are also associated with polypoidal choroidal vasculopathy.","2010-04-08"," 0.2"," "," European-American Caucasian"," 368"," "," 7","+"
"rs529825"," 20378180  ","Three major loci involved in age-related macular degeneration are also associated with polypoidal choroidal vasculopathy.","2010-04-08"," 0.2"," "," European-American Caucasian"," 368"," "," 1","+"
"rs3766404"," 20378180  ","Three major loci involved in age-related macular degeneration are also associated with polypoidal choroidal vasculopathy.","2010-04-08"," 0.2"," "," European-American Caucasian"," 368"," "," 1","+"
"rs8072199"," 20374233  ","Analysis of single nucleotide polymorphisms in the NOS2A gene and interaction with smoking in age-related macular degeneration.","2010-03-31"," 0.035"," 1.3"," Caucasian"," 712"," 286"," 1","+"
"rs2248814"," 20374233  ","Analysis of single nucleotide polymorphisms in the NOS2A gene and interaction with smoking in age-related macular degeneration.","2010-03-31"," 0.037"," "," Caucasian"," 712"," 286"," 1","+"
"rs2230199"," 20157618  ","Complement component 3: an assessment of association with AMD and analysis of gene-gene and gene-environment interactions in a Northern Irish cohort.","2010-02-10"," 0.0003"," 1.48"," Irish"," 485"," 436"," 18","+"
"rs800292"," 20132989  ","Phenotype and genotype characteristics of age-related macular degeneration in a Japanese population.","2010-02-04"," 2.36e-05"," "," Japanese Caucasian"," 154"," 142"," 16","+"
"rs1410996"," 20132989  ","Phenotype and genotype characteristics of age-related macular degeneration in a Japanese population.","2010-02-04"," 2.36e-05"," "," Japanese Caucasian"," 154"," 142"," 15","+"
"rs2274700"," 20132989  ","Phenotype and genotype characteristics of age-related macular degeneration in a Japanese population.","2010-02-04"," 2.36e-05"," "," Japanese Caucasian"," 154"," 142"," 8","+"
"rs11200638"," 20132989  ","Phenotype and genotype characteristics of age-related macular degeneration in a Japanese population.","2010-02-04"," 2.36e-05"," "," Japanese Caucasian"," 154"," 142"," 42","+"
"rs1048118"," 20122735  ","Screening of DNA-variants in the properdin gene (CFP) in age-related macular degeneration (AMD).","2010-01-31"," 0.33"," "," Finnish"," 5"," "," 1","+"
"rs10490923"," 19933179  ","Inverse association of female hormone replacement therapy with age-related macular degeneration and interactions with ARMS2 polymorphisms.","2009-11-20"," 0.007"," "," "," "," "," 2","+"
"rs17623531"," 19933179  ","Inverse association of female hormone replacement therapy with age-related macular degeneration and interactions with ARMS2 polymorphisms.","2009-11-20"," 0.019"," "," "," "," "," 1","+"
"rs2250656"," 19899988  ","Association of c3 gene polymorphisms with neovascular age-related macular degeneration in a chinese population.",""," 0.023"," 0.605"," Chinese"," 123"," 130"," 2","+"
"rs2230205"," 19899988  ","Association of c3 gene polymorphisms with neovascular age-related macular degeneration in a chinese population.",""," 0.033"," 0.58"," Chinese"," 123"," 130"," 1","+"
"rs1061170"," 19899988  ","Association of c3 gene polymorphisms with neovascular age-related macular degeneration in a chinese population.",""," 0.001"," 3.09"," Chinese"," 123"," 130"," 38","+"
"rs4151667"," 19899988  ","Association of c3 gene polymorphisms with neovascular age-related macular degeneration in a chinese population.",""," 0.001"," "," Chinese"," 123"," 130"," 7","+"
"rs641153"," 19899988  ","Association of c3 gene polymorphisms with neovascular age-related macular degeneration in a chinese population.",""," 0.001"," "," Chinese"," 123"," 130"," 12","+"
"rs2250656"," 19899988  ","Association of c3 gene polymorphisms with neovascular age-related macular degeneration in a chinese population.",""," 0.001"," "," Chinese"," 123"," 130"," 2","+"
"rs2146323"," 19896188  ","Vascular endothelial growth factor gene variation and the response to photodynamic therapy in age-related macular degeneration.","2009-11-06"," 0.0369"," "," "," 86"," "," 2","+"
"rs1410996"," 19850835  ","Noncoding variant in the complement factor H gene and risk of exudative age-related macular degeneration in a Chinese population.","2009-10-22"," 0.001"," "," Chinese"," "," 161"," 15","+"
"rs5888"," 19806217  ","rs5888 variant of SCARB1 gene is a possible susceptibility factor for age-related macular degeneration.","2009-10-05"," 0.006"," "," French North American"," 85"," 338"," 3","+"
"rs5888"," 19806217  ","rs5888 variant of SCARB1 gene is a possible susceptibility factor for age-related macular degeneration.","2009-10-05"," 0.01"," 3.5"," French North American"," 85"," 338"," 3","+"
"rs5888"," 19806217  ","rs5888 variant of SCARB1 gene is a possible susceptibility factor for age-related macular degeneration.","2009-10-05"," 0.002"," 2.9"," French North American"," 85"," 338"," 3","+"
"rs588895"," 19806217  ","rs5888 variant of SCARB1 gene is a possible susceptibility factor for age-related macular degeneration.","2009-10-05"," 0.0015"," "," French North American"," 85"," 338"," 1","+"
"rs11200638"," 19798546  ","Association of HTRA1 promoter polymorphism with spinal disc degeneration in Japanese women.","2009-10-02"," 0.0292"," "," Japanese"," 513"," "," 42","+"
"rs547154"," 19696172  ","The involvement of complement factor B and complement component C2 in an Indian cohort with age-related macular degeneration.","2009-08-20"," 5.4e-11"," "," Indian"," "," "," 12","+"
"rs641153"," 19696172  ","The involvement of complement factor B and complement component C2 in an Indian cohort with age-related macular degeneration.","2009-08-20"," 2.2e-07"," "," Indian"," "," "," 12","+"
"rs2072633"," 19696172  ","The involvement of complement factor B and complement component C2 in an Indian cohort with age-related macular degeneration.","2009-08-20"," 0.0002"," "," Indian"," "," "," 2","+"
"rs2808635"," 19692124  ","Complement factor H Y402H and C-reactive protein polymorphism and photodynamic therapy response in age-related macular degeneration.","2009-08-18"," 0.048"," "," "," 273"," "," 1","+"
"rs876538"," 19692124  ","Complement factor H Y402H and C-reactive protein polymorphism and photodynamic therapy response in age-related macular degeneration.","2009-08-18"," 0.048"," "," "," 273"," "," 1","+"
"rs10490924"," 19680273  ","ARMS2/HTRA1 and CFH polymorphisms are not associated with choroidal neovascularization in highly myopic eyes of the elderly Japanese population.","2009-08-14"," 0.1"," "," Japanese"," 170"," "," 55","+"
"rs11200638"," 19680273  ","ARMS2/HTRA1 and CFH polymorphisms are not associated with choroidal neovascularization in highly myopic eyes of the elderly Japanese population.","2009-08-14"," 0.1"," "," Japanese"," 170"," "," 42","+"
"rs1061170"," 19680273  ","ARMS2/HTRA1 and CFH polymorphisms are not associated with choroidal neovascularization in highly myopic eyes of the elderly Japanese population.","2009-08-14"," 0.5"," "," Japanese"," 170"," "," 38","+"
"rs9332739"," 19556007  ","Role of RDBP and SKIV2L variants in the major histocompatibility complex class III region in polypoidal choroidal vasculopathy etiology.","2009-06-25"," 136.0"," "," Japanese"," 136"," 183"," 2","+"
"rs547154"," 19556007  ","Role of RDBP and SKIV2L variants in the major histocompatibility complex class III region in polypoidal choroidal vasculopathy etiology.","2009-06-25"," 136.0"," "," Japanese"," 136"," 183"," 12","+"
"rs4151667"," 19556007  ","Role of RDBP and SKIV2L variants in the major histocompatibility complex class III region in polypoidal choroidal vasculopathy etiology.","2009-06-25"," 136.0"," "," Japanese"," 136"," 183"," 7","+"
"rs641153"," 19556007  ","Role of RDBP and SKIV2L variants in the major histocompatibility complex class III region in polypoidal choroidal vasculopathy etiology.","2009-06-25"," 136.0"," "," Japanese"," 136"," 183"," 12","+"
"rs1155974"," 19381347  ","Single nucleotide polymorphisms of the tenomodulin gene (TNMD) in age-related macular degeneration.","2009-04-15"," 0.021"," "," "," 113"," "," 2","+"
"rs2073163"," 19381347  ","Single nucleotide polymorphisms of the tenomodulin gene (TNMD) in age-related macular degeneration.","2009-04-15"," 0.067"," "," "," 113"," "," 2","+"
"rs1155974"," 19381347  ","Single nucleotide polymorphisms of the tenomodulin gene (TNMD) in age-related macular degeneration.","2009-04-15"," 0.021"," "," "," 113"," "," 2","+"
"rs2073163"," 19381347  ","Single nucleotide polymorphisms of the tenomodulin gene (TNMD) in age-related macular degeneration.","2009-04-15"," 0.022"," "," "," 113"," "," 2","+"
"rs7890586"," 19381347  ","Single nucleotide polymorphisms of the tenomodulin gene (TNMD) in age-related macular degeneration.","2009-04-15"," 0.001"," 0.083"," "," 113"," "," 1","+"
"rs10490924"," 19268887  ","ARMS2 (LOC387715) variants in Japanese patients with exudative age-related macular degeneration and polypoidal choroidal vasculopathy.","2009-03-09"," 7.8e-06"," 3.14"," Japanese"," "," 77"," 55","+"
"rs10490924"," 19255159  ","Localization of age-related macular degeneration-associated ARMS2 in cytosol, not mitochondria.","2009-02-28"," 0.0001"," "," "," 685"," 269"," 55","+"
"rs11200638"," 19255159  ","Localization of age-related macular degeneration-associated ARMS2 in cytosol, not mitochondria.","2009-02-28"," 0.0001"," "," "," 685"," 269"," 42","+"
"rs1047286"," 19234341  ","Complement component 3 (C3) haplotypes and risk of advanced age-related macular degeneration.","2009-02-21"," 9.2e-05"," "," "," 1541"," "," 4","+"
"rs2230199"," 19234341  ","Complement component 3 (C3) haplotypes and risk of advanced age-related macular degeneration.","2009-02-21"," 4.1e-05"," "," "," 1541"," "," 18","+"
"rs1061170"," 19187590  ","Genetic variants in three genes and smoking show strong associations with susceptibility to exudative age-related macular degeneration in a Chinese population.",""," 0.001"," "," Caucasians Chinese"," 144"," 126"," 38","+"
"rs2511989"," 19169411  ","Common variation in the SERPING1 gene is not associated with age-related macular degeneration in two independent groups of subjects.","2009-01-23"," 0.13"," "," "," 1541"," "," 14","+"
"rs2511989"," 19169411  ","Common variation in the SERPING1 gene is not associated with age-related macular degeneration in two independent groups of subjects.","2009-01-23"," 0.44"," "," "," 1541"," "," 14","+"
"rs1061170"," 19169232  ","Variations in five genes and the severity of age-related macular degeneration: results from the Muenster aging and retina study.",""," 0.001"," "," "," 730"," 183"," 38","+"
"rs10490924"," 19169232  ","Variations in five genes and the severity of age-related macular degeneration: results from the Muenster aging and retina study.",""," 0.001"," "," "," 730"," 183"," 55","+"
"rs10490924"," 19065273  ","Sequence variants in HTRA1 and LOC387715/ARMS2 and phenotype and response to photodynamic therapy in neovascular age-related macular degeneration in populations from Israel.","2008-12-08"," 1e-05"," "," Israeli Sephardic Jewish Arab"," 27"," 119"," 55","+"
"rs11200638"," 19065273  ","Sequence variants in HTRA1 and LOC387715/ARMS2 and phenotype and response to photodynamic therapy in neovascular age-related macular degeneration in populations from Israel.","2008-12-08"," 1e-05"," "," Israeli Sephardic Jewish Arab"," 27"," 119"," 42","+"
"rs11200638"," 18939352  ","Correlation between CFH Y402H and HTRA1 rs11200638  genotype to typical exudative age-related macular  degeneration and polypoidal choroidal vasculopathy  phenotype in the Japanese population.",""," 0.598"," "," Asians Asian"," 204"," "," 42","+"
"rs11200638"," 18939352  ","Correlation between CFH Y402H and HTRA1 rs11200638  genotype to typical exudative age-related macular  degeneration and polypoidal choroidal vasculopathy  phenotype in the Japanese population.",""," 0.29"," "," Asians Asian"," 204"," "," 42","+"
"rs438999"," 18806297  ","Further assessment of the complement component 2 and factor B region associated with age-related macular degeneration.","2008-09-20"," 0.001"," "," "," 243"," "," 1","+"
"rs641153"," 18806297  ","Further assessment of the complement component 2 and factor B region associated with age-related macular degeneration.","2008-09-20"," 0.001"," "," "," 243"," "," 12","+"
"rs547154"," 18806293  ","Analysis of rare variants in the complement component 2 (C2) and factor B (BF) genes refine association for age-related macular degeneration (AMD).","2008-09-20"," 9.1e-05"," "," Caucasian Australian"," "," "," 12","+"
"rs641153"," 18806293  ","Analysis of rare variants in the complement component 2 (C2) and factor B (BF) genes refine association for age-related macular degeneration (AMD).","2008-09-20"," 7e-05"," "," Caucasian Australian"," "," "," 12","+"
"rs1061170"," 18784628  ","Complement factor H variant increases the risk for early age-related macular degeneration.",""," 0.0009"," "," Chinese"," 133"," "," 38","+"
"rs10490924"," 18682812  ","Association of CFH, LOC387715, and HTRA1 polymorphisms with exudative age-related macular degeneration in a northern Chinese population.","2008-07-28"," 0.001"," "," Chinese"," 121"," 132"," 55","+"
"rs11200638"," 18682812  ","Association of CFH, LOC387715, and HTRA1 polymorphisms with exudative age-related macular degeneration in a northern Chinese population.","2008-07-28"," 0.001"," "," Chinese"," 121"," 132"," 42","+"
"rs572515"," 18541031  ","The NEI/NCBI dbGAP database: genotypes and haplotypes that may specifically predispose to risk of neovascular age-related macular degeneration.","2008-06-09"," 1e-06"," "," Bonferonni"," 268"," "," 1","+"
"rs2014307"," 18541031  ","The NEI/NCBI dbGAP database: genotypes and haplotypes that may specifically predispose to risk of neovascular age-related macular degeneration.","2008-06-09"," 1e-06"," "," Bonferonni"," 268"," "," 2","+"
"rs10801575"," 18541031  ","The NEI/NCBI dbGAP database: genotypes and haplotypes that may specifically predispose to risk of neovascular age-related macular degeneration.","2008-06-09"," 1e-11"," "," Bonferonni"," 268"," "," 1","+"
"rs2014307"," 18541031  ","The NEI/NCBI dbGAP database: genotypes and haplotypes that may specifically predispose to risk of neovascular age-related macular degeneration.","2008-06-09"," 1e-11"," "," Bonferonni"," 268"," "," 2","+"
"rs3753394"," 18515590  ","Association analysis of CFH, C2, BF, and HTRA1 gene polymorphisms in Chinese patients with polypoidal choroidal vasculopathy.",""," 0.0015"," "," Chinese Caucasians"," "," 93"," 6","+"
"rs800292"," 18515590  ","Association analysis of CFH, C2, BF, and HTRA1 gene polymorphisms in Chinese patients with polypoidal choroidal vasculopathy.",""," 0.0045"," "," Chinese Caucasians"," "," 93"," 16","+"
"rs3753394"," 18515590  ","Association analysis of CFH, C2, BF, and HTRA1 gene polymorphisms in Chinese patients with polypoidal choroidal vasculopathy.",""," 0.0076"," 4.29"," Chinese Caucasians"," "," 93"," 6","+"
"rs3753394"," 18515590  ","Association analysis of CFH, C2, BF, and HTRA1 gene polymorphisms in Chinese patients with polypoidal choroidal vasculopathy.",""," 0.321"," 1.69"," Chinese Caucasians"," "," 93"," 6","+"
"rs11200638"," 18515590  ","Association analysis of CFH, C2, BF, and HTRA1 gene polymorphisms in Chinese patients with polypoidal choroidal vasculopathy.",""," 0.00032"," "," Chinese Caucasians"," "," 93"," 42","+"
"rs10490924"," 18515590  ","Association analysis of CFH, C2, BF, and HTRA1 gene polymorphisms in Chinese patients with polypoidal choroidal vasculopathy.",""," 0.003"," "," Chinese Caucasians"," "," 93"," 55","+"
"rs10490924"," 18436811  ","Variants in the 10q26 gene cluster (LOC387715 and HTRA1) exhibit enhanced risk of age-related macular degeneration along with CFH in Indian patients.",""," 5.34e-12"," "," Indian"," "," "," 55","+"
"rs11200638"," 18436811  ","Variants in the 10q26 gene cluster (LOC387715 and HTRA1) exhibit enhanced risk of age-related macular degeneration along with CFH in Indian patients.",""," 4.32e-12"," "," Indian"," "," "," 42","+"
"rs2672598"," 18436811  ","Variants in the 10q26 gene cluster (LOC387715 and HTRA1) exhibit enhanced risk of age-related macular degeneration along with CFH in Indian patients.",""," 3.39e-11"," "," Indian"," "," "," 8","+"
"rs3775291"," 18385087  ","Toll-like receptor polymorphisms and age-related macular degeneration.",""," 0.01"," "," "," 577"," "," 1","+"
"rs179008"," 18385087  ","Toll-like receptor polymorphisms and age-related macular degeneration.",""," 0.02"," "," "," 577"," "," 1","+"
"rs11200638"," 18316707  ","HTRA1 variants in exudative age-related macular degeneration and interactions with smoking and CFH.","2008-03-03"," 1.7e-14"," "," "," 183"," "," 42","+"
"rs2672598"," 18316707  ","HTRA1 variants in exudative age-related macular degeneration and interactions with smoking and CFH.","2008-03-03"," 1.7e-14"," "," "," 183"," "," 8","+"
"rs1049331102C"," 18316707  ","HTRA1 variants in exudative age-related macular degeneration and interactions with smoking and CFH.","2008-03-03"," 1.7e-14"," "," "," 183"," "," 1","+"
"rs2293870108G"," 18316707  ","HTRA1 variants in exudative age-related macular degeneration and interactions with smoking and CFH.","2008-03-03"," 1.7e-14"," "," "," 183"," "," 1","+"
"rs11200638"," 18301036  ","HTRA1 polymorphism in dry and wet age-related macular degeneration.",""," 6.7e-07"," "," Chinese"," 43"," "," 42","+"
